iter	Passed	Remaining
0	57	57159
1	57	28685
2	57	19196
3	58	14449
4	58	11608
5	58	9714
6	58	8361
7	59	7340
8	59	6547
9	59	5914
10	60	5395
11	60	4961
12	60	4593
13	60	4279
14	61	4008
15	61	3777
16	61	3567
17	62	3382
18	62	3217
19	62	3068
20	62	2932
21	63	2809
22	63	2695
23	63	2592
24	64	2498
25	64	2411
26	64	2329
27	64	2252
28	65	2181
29	65	2117
30	65	2054
31	66	1997
32	66	1945
33	66	1893
34	66	1844
35	67	1803
36	67	1764
37	68	1722
38	68	1685
39	68	1648
40	69	1616
41	69	1583
42	69	1550
43	69	1520
44	70	1491
45	70	1466
46	70	1439
47	71	1413
48	71	1390
49	71	1367
50	72	1344
51	72	1322
52	72	1300
53	73	1280
54	73	1260
55	73	1241
56	73	1223
57	74	1204
58	74	1187
59	74	1170
60	75	1155
61	75	1139
62	75	1124
63	75	1110
64	76	1095
65	76	1081
66	76	1068
67	77	1055
68	77	1042
69	77	1030
70	77	1019
71	78	1007
72	78	996
73	78	985
74	78	974
75	79	963
76	79	953
77	79	943
78	80	933
79	80	925
80	80	915
81	81	907
82	81	896
83	81	888
84	81	879
85	82	872
86	82	864
87	82	856
88	83	850
89	83	843
90	83	838
91	84	836
92	85	829
93	85	822
94	85	815
95	85	808
96	86	802
97	86	795
98	86	789
99	86	782
100	87	777
101	87	772
102	88	767
103	88	761
104	88	756
105	88	750
106	89	744
107	89	739
108	89	734
109	90	729
110	90	724
111	90	719
112	91	714
113	91	709
114	91	704
115	91	699
116	92	694
117	92	689
118	92	685
119	92	680
120	93	676
121	93	671
122	93	666
123	93	663
124	94	664
125	95	660
126	95	656
127	95	652
128	96	651
129	98	657
130	99	661
131	116	765
132	116	761
133	117	758
134	117	753
135	117	748
136	118	745
137	118	740
138	118	736
139	119	732
140	119	727
141	119	723
142	119	718
143	120	714
144	120	710
145	123	722
146	123	718
147	124	714
148	124	711
149	125	708
150	125	705
151	125	701
152	126	698
153	126	694
154	126	690
155	126	686
156	127	683
157	127	679
158	127	676
159	128	673
160	128	669
161	128	665
162	129	663
163	129	661
164	130	658
165	130	655
166	130	652
167	131	649
168	131	646
169	131	642
170	131	639
171	132	636
172	132	633
173	132	630
174	133	627
175	133	624
176	133	621
177	133	618
178	134	615
179	134	612
180	134	610
181	135	607
182	135	604
183	135	601
184	135	598
185	136	595
186	136	593
187	136	590
188	137	587
189	137	585
190	137	582
191	137	580
192	138	577
193	138	575
194	138	573
195	139	570
196	139	568
197	139	565
198	139	563
199	140	560
200	140	558
201	140	556
202	141	554
203	141	551
204	141	549
205	142	547
206	142	545
207	142	543
208	142	541
209	143	538
210	143	536
211	143	534
212	144	532
213	144	530
214	144	529
215	145	527
216	145	524
217	145	522
218	146	521
219	146	519
220	146	517
221	147	515
222	147	513
223	147	511
224	148	510
225	148	508
226	148	506
227	148	504
228	149	502
229	149	500
230	149	498
231	150	497
232	150	495
233	150	493
234	151	491
235	151	489
236	151	488
237	151	486
238	152	484
239	152	482
240	152	481
241	153	479
242	153	478
243	154	477
244	154	476
245	155	475
246	155	473
247	155	471
248	155	470
249	156	468
250	156	467
251	156	465
252	157	464
253	157	462
254	157	461
255	158	459
256	158	458
257	158	456
258	159	455
259	159	453
260	159	452
261	160	450
262	160	449
263	160	447
264	161	446
265	161	445
266	161	444
267	162	443
268	162	441
269	162	440
270	163	438
271	163	437
272	163	435
273	163	434
274	164	432
275	164	431
276	164	430
277	165	428
278	165	427
279	165	425
280	165	424
281	166	423
282	166	422
283	166	420
284	167	419
285	167	418
286	167	416
287	168	415
288	168	414
289	168	412
290	168	411
291	169	410
292	169	408
293	169	407
294	170	406
295	170	404
296	170	403
297	170	402
298	171	401
299	171	400
300	171	399
301	172	397
302	172	396
303	172	395
304	172	394
305	173	392
306	173	391
307	173	390
308	173	389
309	174	387
310	174	386
311	174	385
312	175	384
313	175	383
314	175	382
315	176	381
316	176	380
317	177	380
318	177	379
319	178	378
320	178	377
321	178	376
322	179	375
323	179	374
324	179	373
325	180	372
326	180	371
327	180	370
328	180	368
329	181	367
330	181	366
331	181	365
332	181	364
333	182	363
334	182	362
335	182	361
336	183	360
337	183	358
338	183	357
339	183	356
340	184	355
341	184	354
342	184	353
343	185	352
344	185	351
345	185	350
346	185	349
347	186	348
348	186	347
349	186	346
350	186	345
351	187	344
352	187	343
353	187	342
354	188	341
355	188	340
356	188	339
357	188	338
358	189	337
359	189	336
360	189	336
361	190	335
362	190	334
363	190	333
364	191	332
365	191	331
366	191	330
367	192	330
368	192	329
369	192	328
370	193	327
371	193	326
372	193	325
373	193	324
374	194	323
375	194	322
376	194	321
377	195	321
378	195	320
379	195	319
380	195	318
381	196	317
382	196	316
383	196	315
384	197	314
385	197	313
386	197	313
387	197	312
388	198	311
389	198	310
390	198	309
391	199	308
392	199	307
393	199	307
394	200	306
395	200	305
396	200	304
397	200	303
398	201	303
399	201	302
400	201	301
401	202	300
402	202	299
403	202	299
404	203	298
405	203	297
406	203	296
407	203	295
408	204	294
409	204	294
410	204	293
411	204	292
412	205	291
413	205	290
414	205	290
415	206	289
416	206	288
417	206	287
418	207	287
419	207	286
420	207	285
421	208	285
422	208	284
423	208	283
424	209	282
425	209	281
426	209	281
427	209	280
428	210	279
429	210	278
430	210	278
431	210	277
432	211	276
433	211	275
434	211	275
435	212	274
436	212	273
437	212	272
438	212	272
439	213	271
440	213	270
441	213	269
442	214	269
443	214	268
444	214	267
445	214	266
446	215	266
447	215	265
448	215	264
449	216	264
450	216	263
451	216	262
452	216	261
453	217	261
454	217	260
455	217	259
456	218	259
457	218	258
458	218	257
459	218	256
460	219	256
461	219	255
462	219	254
463	220	254
464	220	253
465	220	253
466	221	252
467	221	251
468	221	251
469	222	250
470	222	249
471	222	249
472	223	248
473	223	247
474	223	247
475	223	246
476	224	245
477	224	245
478	224	244
479	225	243
480	225	243
481	225	242
482	225	241
483	226	241
484	226	240
485	226	239
486	227	239
487	227	238
488	227	237
489	228	237
490	228	236
491	228	236
492	228	235
493	229	234
494	229	234
495	229	233
496	229	232
497	230	232
498	230	231
499	230	230
500	231	230
501	231	229
502	231	228
503	231	228
504	232	227
505	232	226
506	232	226
507	232	225
508	233	224
509	233	224
510	233	223
511	233	223
512	234	222
513	234	221
514	234	221
515	235	220
516	235	220
517	235	219
518	236	218
519	236	218
520	237	218
521	237	217
522	237	217
523	238	216
524	238	215
525	238	215
526	239	214
527	239	214
528	239	213
529	240	212
530	240	212
531	240	211
532	241	211
533	241	210
534	241	209
535	241	209
536	242	208
537	242	208
538	242	207
539	242	206
540	243	206
541	243	205
542	243	205
543	244	204
544	244	203
545	244	203
546	244	202
547	245	202
548	245	201
549	245	201
550	245	200
551	246	199
552	246	199
553	246	198
554	247	198
555	247	197
556	247	197
557	247	196
558	248	195
559	248	195
560	248	194
561	249	194
562	249	193
563	249	192
564	249	192
565	250	191
566	250	191
567	250	190
568	250	190
569	251	189
570	251	189
571	251	188
572	252	187
573	252	187
574	252	186
575	253	186
576	253	185
577	253	185
578	253	184
579	254	184
580	254	183
581	254	183
582	255	182
583	255	181
584	255	181
585	255	180
586	256	180
587	256	179
588	256	179
589	256	178
590	257	177
591	257	177
592	257	176
593	258	176
594	258	175
595	258	175
596	258	174
597	259	174
598	259	173
599	259	173
600	259	172
601	260	171
602	260	171
603	260	170
604	260	170
605	261	169
606	261	169
607	261	168
608	261	168
609	262	167
610	262	167
611	262	166
612	263	166
613	263	165
614	263	165
615	263	164
616	264	163
617	264	163
618	264	162
619	264	162
620	265	161
621	265	161
622	265	160
623	266	160
624	266	159
625	266	159
626	267	158
627	267	158
628	267	157
629	267	157
630	268	156
631	268	156
632	268	155
633	269	155
634	269	154
635	269	154
636	269	153
637	270	153
638	270	152
639	270	152
640	270	151
641	271	151
642	271	150
643	271	150
644	271	149
645	272	149
646	272	148
647	272	148
648	273	147
649	273	147
650	273	146
651	273	146
652	274	145
653	274	145
654	274	144
655	274	144
656	275	143
657	275	143
658	275	142
659	276	142
660	276	141
661	276	141
662	276	140
663	277	140
664	277	139
665	277	139
666	278	138
667	278	138
668	278	137
669	278	137
670	279	136
671	279	136
672	279	135
673	279	135
674	280	134
675	280	134
676	280	133
677	281	133
678	281	132
679	281	132
680	281	132
681	282	131
682	282	131
683	282	130
684	283	130
685	283	129
686	283	129
687	283	128
688	284	128
689	284	127
690	284	127
691	285	126
692	285	126
693	285	125
694	285	125
695	286	125
696	286	124
697	286	124
698	287	123
699	287	123
700	287	122
701	288	122
702	288	121
703	288	121
704	288	120
705	289	120
706	289	119
707	289	119
708	290	119
709	290	118
710	290	118
711	291	117
712	291	117
713	291	116
714	291	116
715	292	115
716	292	115
717	292	114
718	292	114
719	293	114
720	293	113
721	293	113
722	294	112
723	294	112
724	294	111
725	295	111
726	295	110
727	295	110
728	296	110
729	296	109
730	296	109
731	296	108
732	297	108
733	297	107
734	297	107
735	298	106
736	298	106
737	298	106
738	299	105
739	299	105
740	299	104
741	300	104
742	300	103
743	300	103
744	300	102
745	301	102
746	301	102
747	301	101
748	301	101
749	302	100
750	302	100
751	302	99
752	303	99
753	303	98
754	303	98
755	303	98
756	304	97
757	304	97
758	304	96
759	304	96
760	305	95
761	305	95
762	305	94
763	305	94
764	306	94
765	306	93
766	306	93
767	307	92
768	307	92
769	307	91
770	307	91
771	308	91
772	308	90
773	308	90
774	309	89
775	309	89
776	309	88
777	309	88
778	310	88
779	310	87
780	310	87
781	311	86
782	311	86
783	311	85
784	312	85
785	312	85
786	312	84
787	313	84
788	313	83
789	313	83
790	314	83
791	314	82
792	314	82
793	314	81
794	315	81
795	315	80
796	315	80
797	316	80
798	316	79
799	316	79
800	316	78
801	317	78
802	317	77
803	317	77
804	318	77
805	318	76
806	318	76
807	318	75
808	319	75
809	319	74
810	319	74
811	320	74
812	320	73
813	320	73
814	320	72
815	321	72
816	321	72
817	321	71
818	322	71
819	322	70
820	322	70
821	322	69
822	323	69
823	323	69
824	323	68
825	324	68
